inputs,targets
" It is an object of the invention to develop a damper of the type mentioned at the outset in such a way that low-noise and low-wear guidance of the tappet in the casing is ensured, accompanied with manufacture at a low cost. 
 This object is attained by the features including a substantially tubular casing which has a central longitudinal axis and an end on the side of a tappet and a free end; a tappet which is displaceably guided in the casing and projects from the end on the side of the tappet, having a central longitudinal axis and an end inside the casing and a free end; fastening elements which are mounted on the free end of the casing and on the free end of the tappet; a frictional damping unit for producing a given frictional damping effect between the casing and the tappet; and a guiding damping unit for damping and centering any deflection of the tappet crosswise of the central longitudinal axis of the casing. The gist of the invention resides in providing the damper with a guiding damping unit that will attenuate any radial deflections of the damper and center the tappet in the casing. 
 Additional features and advantages of the invention will become apparent from the ensuing description of five exemplary embodiments of the invention, taken in conjunction with the drawing.
","1. A damper comprising 
a) a substantially tubular casing (8; 8a) which has a central longitudinal axis (9) and an end (24; 24a) on the side of a tappet (17; 17a) and a free end (10; 10a); 
b) a tappet (17; 17a) which is displaceably guided in the casing (8; 8a) and projects from the end (10; 10a) on the side of the tappet (17; 17a), having a central longitudinal axis (18) and an end (23; 23a) inside the casing (8; 8a) and a free end (19; 19a); 
c) fastening elements (12, 20; 12a, 20a) which are mounted on the free end (10; 10a) of the casing (8; 8a) and on the free end (19; 19a) of the tappet (17; 17a); 
d) a frictional damping unit (26; 26a) for producing a given frictional damping effect between the casing (8; 8a) and the tappet (17; 17a); and 
e) a guiding damping unit (41; 41a; 41b; 41c; 41d) for damping and centering any deflection of the tappet (17; 17a) crosswise of the central longitudinal axis (9) of the casing (8; 8a)."
" The object of the invention is to provide a simply and economically manufactured device for stabilizing the position of a straw received in the mouth of a bottle. 
 According to the invention, this object is achieved by a straw holder including a straw support portion having a central aperture dimensioned to receive a straw in an interference fit, and a bottle retaining portion having at least one turn extending around the retaining portion. Preferably there are several turns, which may have a spiral configuration in order to be fitted around the neck of a bottle in a range of sizes. In use, the straw support portion is received against the mouth of a bottle and a straw is inserted in the aperture, which may be configured with a tab or other resilient receiving means to provide a radial force on the straw. One or more of the turns is received under a flange or screw ramp near the mouth of the bottle to retain the straw holder on the bottle. 
 The straw holder according to the invention can be simply fabricated from a sheet material such as paper, cardboard, or plastic such as polyurethane. The sheet material is preferably die-cut to form slits which define the central aperture and the turns of the finished device. The straw holder itself is preferably two dimensional when not in use, and may therefore be stacked to provide considerable economy of space. Since the straw holder according to the invention may be manufactured even more cheaply than lids for disposable cups, it is suitable for use as a “give-away”, optionally provided with a straw at the point of sale for a bottled beverage. As such, straw manufacturers might wish to provide the straw holder as a “value added” item. 
 Other objects and features of the present invention will become apparent from the following detailed description considered in conjunction with the accompanying drawings. It is to be understood, however, that the drawings are designed solely for purposes of illustration and not as a definition of the limits of the invention, for which reference should be made to the appended claims. It should be further understood that the drawings are not necessarily drawn to scale and that, unless otherwise indicated, they are merely intended to conceptually illustrate the structures and procedures described herein. 
","1. A straw holder for supporting a drinking straw in the mouth of a bottle, said holder comprising: 
a straw support portion dimensioned for placement across the mouth of a bottle and comprising an aperture designed to receive a straw therethrough and to vertically support said straw with respect to said support portion; and 
a bottle retaining portion comprising at least one turn extending around said retaining portion, said at least one turn comprising a first turn having an end attached to said straw support portion."
" A device enabling testing continuities of electrical paths through an area array integrated circuit on a circuit assembly is presented. The device may comprise a measurement access target contact on the area array package. Fill metal within one or more layers of the area array package may be connected to the measurement access target contact. 
 A method for testing continuity of electrical paths through an area array integrated circuit on a circuit assembly is presented. The method may comprise stimulating one or more nodes of the circuit assembly, coupling a test probe with a measurement access target contact on the area array package that is connected to the fill metal of the signal routing layers of the area array package, measuring an electrical characteristic of the area array package on the circuit assembly with a tester coupled to the test probe to determine continuity of electrical paths through the area array on the circuit assembly. 
","1. A device, comprising: 
an integrated circuit package; 
at least one signal routing layer with fill metal between traces and vias within the integrated circuit package; and 
at least one measurement access target connected to at least one fill metal layer of the integrated circuit package."
" Systems and methods for locating a blood vessel are disclosed. An embodiment of a method for locating a blood vessel includes transmitting waves into a body part through which a blood vessel runs, detecting reflections of the waves, determining a location of the blood vessel responsive to detecting the reflections of the waves, and providing a visual indication at a location that is adjacent to the blood vessel. 
 An embodiment of a system for locating a blood vessel includes a transmitter configured to transmit waves into a body part through which a blood vessel runs, a receiver configured to receive reflections of the waves transmitted by the transmitter, a processor that is programmed to determine a location of the blood vessel responsive to the receiver receiving the reflections of the waves, and a display device that is configured to provide a visual indication at a location that is adjacent to the blood vessel responsive to the processor determining the location of the blood vessel. 
 Other systems, methods, features and/or advantages will be or may become apparent to one with skill in the art upon examination of the following figures and detailed description. It is intended that all such additional systems, methods, features, and/or advantages be included within this description and be protected by the accompanying claims
","1. A method for locating a blood vessel, comprising the steps of: 
transmitting waves into a body part through which a blood vessel runs; 
detecting reflections of the waves; 
determining a location of the blood vessel responsive to detecting the reflections of the waves; and 
providing a visual indication at a location that is adjacent to the blood vessel, the visual indication being provided via a device that is attached to the body part."
" A system for providing an accurate root cause failure by linking user incident reports to the root cause failure in a diagnostic database that reflects the system's current configuration. The system includes a monitoring application for monitoring a plurality of assets and detecting failures with the plurality of assets, a diagnostic database for storing a plurality of pre-identified symptoms, and an incident tracking application for tracking user incident reports received from users. Each user incident report contains an observed symptom, and each pre-identified symptom is linked to at least one failure of an asset, wherein a pre-identified symptom is activated when the monitoring application detects a failure linked to the pre-identified symptom. After a user incident report is received, the observed symptom in the user incident report is matched up with an activated symptom in the diagnostic database, and the asset that is associated with the activated symptom is indicated as the root cause failure. 
 The system also includes an incident tracking database for storing the user incident reports. The monitoring application creates a system incident report for each failure detected with an asset and the system incident report is stored in the incident tracking database. The diagnostic database further stores a plurality of solutions, each solution being associated with at least one pre-identified symptom. 
 The invention also includes a method for for providing an accurate root cause failure by linking user incident reports to the root cause failure in a diagnostic database that reflects the system's current configuration. The method includes the steps of pre-populating a diagnostic database with a plurality of pre-identified symptoms, linking each pre-identified symptom with at least one failure of one asset, monitoring a plurality of assets, upon detecting a failure of an asset, activating at least one pre-identified symptom associated with the failed asset in the diagnostic database, receiving a user incident report from an user, and matching the observed symptom with an activated symptom in the diagnostic database. Each pre-identified symptom is linked to at least one solution, and each user incident report has at least one observed symptom. The asset associated with the matched symptom is the root cause failure. 
 The method may also includes the steps of retrieving a solution associated with the activated symptom and executing actions listed in the solution. Additionally, the method can include analyzing failure modes and devising the plurality of pre-identified symptoms. Finally, the method includes the steps of creating a system incident report for each failure detected and linking the system incident report to the activated symptom. 
 Other objects, advantages, and features of the present invention will become apparent after review of the hereinafter set forth Brief Description of the Drawings, Detailed Description of the Invention, and the Claims.
","1. A system for providing an accurate root cause failure by linking user incident reports to the root cause failure in a diagnostic database that reflects the system's current configuration, comprising: 
a monitoring application for monitoring a plurality of assets and detecting failures with the plurality of assets; 
a diagnostic database having a plurality of pre-identified symptoms, each pre-identified symptom being linked to at least one failure of an asset, wherein a pre-identified symptom is activated when the monitoring application detects a failure linked to the pre-identified symptom; and 
an incident tracking application for tracking user incident reports received from users, each user incident report containing an observed symptom, 
wherein, after a user incident report is received, the observed symptom in the user incident report is matched up with an activated pre-identified symptom in the diagnostic database, the asset that is associated with the activated symptom being the root cause failure."
" The present invention provides a method of fabricating a multi-level mask ROM structure by performing twice ROM code implantation, which is compatible with the conventional mask ROM fabrication process. 
 As embodied and broadly described herein, the fabrication method of this invention comprises performing a threshold voltage implantation for adjusting the intrinsic memory cell to be subsequently either an enhancement mode transistor or a depletion mode transistor. Afterwards, a first code implantation is performed to the memory region so as to obtain memory cells with a first threshold voltage range and memory cells with a second threshold voltage range. Next, a second code implantation is performed to the memory region so as to obtain memory cells with a third threshold voltage range and memory cells with a fourth threshold voltage range, except for the memory cells with the first threshold voltage range and the second threshold voltage range. Therefore, the resultant mask ROM array can provide multiple levels of threshold distribution corresponding for logic states. 
 The invention provides a multi-level mask ROM structure. The multi-level mask ROM array of this invention can provide multiple levels of threshold distribution for logic data, while each of the memory cells of the multi-level mask ROM structure can store two bits, thus efficiently increasing the storage capacity of the mask ROM. 
 It is to be understood that both the foregoing general description and the following detailed description are exemplary, and are intended to provide further explanation of the invention as claimed.
","1. A method for forming a mask read only memory structure, comprising: 
providing a substrate having a memory region and a periphery region; 
performing a threshold voltage implantation to adjust a threshold voltage of the memory region; 
forming a plurality of gate structures on the substrate, wherein the gate structure includes a gate oxide layer on the substrate and a gate conductive layer on the gate oxide layer; 
forming spacers on sidewalls of the gate structures; 
forming a plurality of source/drain regions in the substrate along both sides of the spacers; 
applying a first patterned photoresist layer with a first code pattern to the substrate and then performing a first code implantation to the memory region using the first patterned photoresist layer with the first code pattern as a mask; 
applying a second patterned photoresist layer with a second code pattern to the substrate and then performing a second code implantation to the memory region using the second patterned photoresist layer with the second code pattern as a mask; 
forming an interlayer over the substrate; and 
forming at least a contact plug in the interlayer."
" According to one aspect of the invention a new tree-like structure is created. The tree-like structure, known as a disjoint graph, enables packet classification in only one pass of the tree. 
 The disjoint graph is comprised of two new types of data structures: an elementary interval tree (EIT) and a disjoint interval (DIT). The disjoint graph is constructed based on a range-specified rule set for classifying packets. Each rule in the rule set has an equal number of fields, D, and each field specifies a range, referred to as an integer interval, having a lower and an upper bound. The disjoint graph has the same number of layers, D, as there are fields in each rule. The layers are comprised of nodes, and each node has an associated rule set selected from the original (range-specified) rule set. 
 The first layer of the disjoint graph is an EIT. The remaining layers comprise a set of DITs and a set of EITs. The set of DITs at a given layer are constructed for the integer intervals stored in each node of the EITs in the preceding layer. The set of EITs at a given layer are constructed for the integer intervals stored in each node of the DITs of that layer. The associated rule set of a node of an EIT in a j-th layer contains rules whose j-th field contains the elementary interval stored in the node. The associated rule set of a node of a DIT in a j-th layer contains rules whose j-th field is contained by the disjoint interval stored in the node. 
 Elementary intervals are non-overlapping integer intervals. Disjoint intervals are intervals formed from overlapping integer intervals by combining them to form integer intervals that are disjoint from each other. 
 In accordance with a first aspect of the present invention there is provided a method of creating a tree-like data structure for use in carrying out range specified rule evaluations, the data structure having a rule specified rule set where each rule in the rule set has an equal number of fields and each field specifies a range having an upper and lower bound, there being the same number of layers in the structure as there are fields in each rule set, the method comprising: creating a first layer of the structure made up of a set of non-overlapping ranges; and creating one or more additional layers each made up of sets of non-overlapping ranges and sets of overlapping ranges; wherein range specified rule evaluations are carried out by one pass through the data structure. 
 In accordance with a second aspect of the present invention there is provided a method of creating an augmented binary tree structure from a range specified rule set, each rule in the rule set having an equal number of fields and each field specifying a range having an upper and lower bound forming a set of intervals, the method comprising: projecting end points of each interval of the set of intervals onto a line, the end points dividing the line into non-overlapping elementary intervals; and forming the tree structure such that each node of the tree contains a single elementary interval, an indication of original intervals associated with the elementary interval, and pointers to any adjacent nodes in the tree. 
 In accordance with a further aspect of the present invention there is provided a method of creating a disjoint interval tree from a range specified rule set each rule in the rule set having an equal number of fields and each field specifying a range having an upper and lower bound forming a set of intervals, the method comprising: combining overlapping intervals of the set of intervals to form larger intervals that are disjoint to each other; and evaluating the overlapping intervals to find the maximum disjoint intervals for the set of intervals. 
 Prior solutions for indexing intervals to support intersection query and stabbing query include segment tree, interval tree, priority search tree, interval binary search tree, point-range tree, etc. However, no solution has ever been proposed to find disjoint intervals for a given set of intervals.
","1. A method of creating a tree-like data structure for use in carrying out range specified rule evaluations, the data structure having a rule specified rule set where each rule in the rule set has an equal number of fields and each field specifies a range having an upper and lower bound, there being the same number of layers in the structure as there are fields in each rule set, the method comprising: 
creating a first layer of the structure made up of a set of non-overlapping ranges; and 
creating one or more additional layers each made up of sets of non-overlapping ranges and sets of overlapping ranges; 
wherein range specified rule evaluations are carried out by one pass through the data structure."
" One embodiment of the present invention is a composition that includes 0.1 to 10 percent by weight surfactant, and a developing solution selected from the group consisting of a carbonate solution, a sodium hydroxide solution, a potassium hydroxide solution and a tetramethylammonium hydroxide solution. 
 Another embodiment of the present invention is a process for dissolving coating material in a coating by exposing the coating to the composition described above. The coating may be in the form of a protective layer prepared from a photoresist material. The photoresist material may further be prepared from a polymer that includes at least 50 mole percent monomers having a structure selected from the group consisting of:  




 wherein R1 is hydrogen or lower alkyl; R2 is a lower alkyl; and R3 is hydrogen or a lower alkyl; and wherein a lower alkyl includes alkyl groups having 1 to 6 linear or cyclic carbon atoms;  




 wherein R1 is hydrogen or lower alkyl; R2 is a lower alkyl; and R3 and R4 are independently hydrogen or a lower alkyl; and wherein a lower alkyl includes alkyl groups having 1 to 6 carbon atoms, and the joining of R1 and R2, or R1 and either R3 or R4, or R2 and either R3 or R4 to form a 5-, 6- or 7-membered ring; and  




 wherein R1 is hydrogen or lower alkyl; R2 is a lower alkyl; and R3 and R4 are independently hydrogen or a lower alkyl; and wherein a lower alkyl includes alkyl groups having 1 to 6 carbon atoms, and the joining of R1 and R2, or R1 and either R3 or R4, or R2 and either R3 or R4 to form a 5-, 6- or 7-membered ring.

","1. A composition comprising 0.1 to 10 percent by weight surfactant, and a developing solution selected from the group consisting of a carbonate solution, a sodium hydroxide solution, a potassium hydroxide solution, and a tetramethylammonium hydroxide solution."
" According to a first aspect of the present invention, there is provided a photo mask comprising a mask pattern formed by using a mask exposure pattern to exposure a mask substrate, the mask exposure pattern being formed by adding a proximity effect correction pattern to a design pattern that is a pattern image of design data, the design pattern having a first portion extending in a first direction and a second portion extending in a second direction that is oblique to the first direction, the correction pattern having a first correction portion added to the first portion and a second correction portion added to the second portion, an edge portion of the second correction portion being shaped to incline to extend in the first direction or a direction orthogonal to the first direction. 
 According to a second aspect of the present invention, there is provided a method of manufacturing a photo mask, the method comprising forming a mask exposure pattern by adding a proximity effect correction pattern to a design pattern that is a pattern image of design data, the design pattern having a first portion extending in a first direction and a second portion extending in a second direction that is oblique to the first direction, the correction pattern having a first correction portion added to the first portion and a second correction portion added to the second portion, an edge portion of the second correction portion being shaped to incline to extend in the first direction or a direction orthogonal to the first direction, and forming a photo mask having a mask pattern by using the mask exposure pattern to expose a mask substrate. 
 According to a third aspect of the present invention, there is provided a method of generating mask data, the method comprising determining correction data used to correct a proximity effect and generating mask data used to form a photo mask by adding the correction data to design data, a design pattern of the design data having a first portion extending in a first direction and a second portion extending in a second direction that is oblique to the first direction, a correction pattern of the correction data having a first correction portion added to the first portion and a second correction portion added to the second portion, an edge portion of the second correction portion being shaped to incline to extend in the first direction or a direction orthogonal to the first direction. 
 According to a fourth aspect of the present invention, there is provided a photo mask having a mask pattern, the mask pattern having a design pattern that is a pattern image of design data and a proximity effect correction pattern to be added to the design pattern, the design pattern having a first portion extending in a first direction and a second portion extending in a second direction that is oblique to the first direction, the correction pattern having a first correction portion added to the first portion and a second correction portion added to the second portion, an edge portion of the second correction portion being shaped to incline to extend in the first direction or a direction orthogonal to the first direction.
","1. A photo mask comprising: 
a mask pattern formed by using a mask exposure pattern to exposure a mask substrate, 
the mask exposure pattern being formed by adding a proximity effect correction pattern to a design pattern that is a pattern image of design data, 
the design pattern having a first portion extending in a first direction and a second portion extending in a second direction that is oblique to the first direction, 
the correction pattern having a first correction portion added to the first portion and a second correction portion added to the second portion, 
an edge portion of the second correction portion being shaped to incline to extend in the first direction or a direction orthogonal to the first direction."
" The present invention provides a roof shake which simulates a conventional wooden shake. The inventive shake apparatus includes an exposure portion, a toplap portion, a headlap portion, a butt end, an upper edge, an upper surface, and a lower surface. As with its wooden shake counterpart, the inventive shake tapers from the butt end to the upper edge. However, unique to the inventive apparatus, the exposure portion of the shake includes at least one cavity which functions as an insulative chamber and may be filled with insulative material. Also unique to the present invention, the shake includes one or more fastener channels which allow the shake to be secured to roof sheathing in a novel fashion and without causing any damage to the shake. The inventive shake preferably further includes a number of upper edge tabs to prevent uplift in high winds while simultaneously providing an opening for fasteners from overlapping shakes to pass through and into the roof without causing damage to the underlying shake. Finally, the butt end of the inventive shake preferably includes a novel ledge portion that allows an installer to pick up and manipulate the shake with ease, thereby saving on energy expended in installation and injuries incurred during installation. 
 It is therefore an object of the present invention to provide a new and improved simulated wood roofing shake. 
 It is another object of the present invention to provide a new and improved roofing shake incorporating insulative capacity. 
 A further object or feature of the present invention is a new and improved roofing shake adapted for ease in installation. 
 An even further object of the present invention is to provide a novel roofing shake that is easy to pick up and manipulate for installation. 
 Other novel features which are characteristic of the invention, as to organization and method of operation, together with further objects and advantages thereof will be better understood from the following description considered in connection with the accompanying drawing, in which preferred embodiments of the invention are illustrated by way of example. It is to be expressly understood, however, that the drawing is for illustration and description only and is not intended as a definition of the limits of the invention. The various features of novelty which characterize the invention are pointed out with particularity in the claims annexed to and forming part of this disclosure. The invention resides not in any one of these features taken alone, but rather in the particular combination of all of its structures for the functions specified. 
 There has thus been broadly outlined the more important features of the invention in order that the detailed description thereof that follows may be better understood, and in order that the present contribution to the art may be better appreciated. There are, of course, additional features of the invention that will be described hereinafter and which will form additional subject matter of the claims appended hereto. Those skilled in the art will appreciate that the conception upon which this disclosure is based readily may be utilized as a basis for the designing of other structures, methods and systems for carrying out the several purposes of the present invention. It is important, therefore, that the claims be regarded as including such equivalent constructions insofar as they do not depart from the spirit and scope of the present invention. 
 Further, the purpose of the Abstract is to enable the U.S. Patent and Trademark Office and the public generally, and especially the scientists, engineers and practitioners in the art who are not familiar with patent or legal terms or phraseology, to determine quickly from a cursory inspection the nature and essence of the technical disclosure of the application. The Abstract is neither intended to define the invention of this application, which is measured by the claims, nor is it intended to be limiting as to the scope of the invention in any way. 
 Certain terminology and derivations thereof may be used in the following description for convenience in reference only, and will not be limiting. For example, words such as “upward,” “downward,” “left,” and “right” would refer to directions in the drawings to which reference is made unless otherwise stated. Similarly, words such as “inward” and “outward” would refer to directions toward and away from, respectively, the geometric center of a device or area and designated parts thereof. References in the singular tense include the plural, and vice versa, unless otherwise noted. 
","1. A roofing shake, comprising: 
a body member having an exposure portion, a toplap portion, a headlap portion, a shake butt, an upper edge, an upper surface, and a lower surface; and 
at least one fastener channel in said body member and extending between said upper surface and said lower surface adapted for installation of a strip through which fasteners may be driven into roof sheathing to secure said shake body to the roof."
" In one embodiment, a wireless communication device incorporates a digital variable gain amplifier (DVGA) that has an improved architecture. The DVGA may include a multiplier to multiply an M-bit baseband sample by an N-bit gain factor to generate a product having M+N bits. The DVGA may also include a shift register to shift the M-bit baseband sample by N bits to generate a shifted value having M+N bits. The DVGA may also include a bit selector that generates an output by selecting at least a subset of M+N+1 bits of a sum of the product and the shifted value. The output of the DVGA can be provided to a demodulation unit for demodulation. By avoiding truncation of the M+N bit product to match the bit size of the baseband sample, and instead shifting the baseband sample by N bits to match the M+N bit size of the product, performance of the DVGA can be enhanced. In particular, the input amplitude for small signals may converge to a desired level more smoothly compared to DVGAs in which the bits of the product of the input signal and the gain factor are rounded or truncated. 
 In another embodiment, a wireless communication device includes an automatic gain control unit that measures a power level of baseband samples and accumulates differences between the measured power levels and a set point. The wireless communication device may also include a DVGA that adjusts a gain factor as a function of the accumulation and applies the adjusted gain factor to scale the baseband samples. Because measured power level differences are accumulated, and used to adjust the gain factor, the architecture can avoid conversions of the power level differences prior to accumulation. In this manner, the architecture can be simplified. 
 Various embodiments may be implemented in software, hardware, firmware, or any combination thereof. Additional details of various embodiments are set forth in the accompanying drawings and the description below. Other features, objects and advantages will become apparent from the description and drawings, and from the claims. 
","1. A method comprising: 
measuring power levels of baseband samples of an RF signal; 
accumulating differences between the measured power levels and a set point; 
adjusting a gain factor as a function of the accumulation; and 
applying the adjusted gain factor to scale the baseband samples."
" Various aspects of the present invention provide a system and method for reduced latency in a video signal processing system. Such a video signal processing system may, for example and without limitation, comprise a television, television receiver, personal video recorder, etc. 
 Various aspects of the present invention may comprise receiving a current request from a user for first video information. Such a request may, for example, be received with a user interface module. In an exemplary television scenario, such a request may comprise a request for a particular channel, next channel, previous channel, menu selection, etc. 
 A first video stream and a second video stream may be received simultaneously, where the first video stream comprises the first video information currently requested by the user, and the second video stream comprises second video information not currently requested by the user. A video receiver module may, for example, perform such receiving. 
 Various aspects of the present invention may comprise determining the second video stream based on any of a number of criteria. For example, such a determination may be based on a previously presented video program, a sequential list of programs, previous or next channel information, or monitored user request behavior. 
 The first video stream may be processed to present the first video information to the user at the current time. Further, the second video stream may be pre-processed in preparation for being presented to the user in the future. A video processing module may, for example, perform such video stream processing. For example and without limitation, such pre-processing may comprise buffering data corresponding to the second video stream, communicating conditional access information, tracking temporal aspects, performing various parsing activities, full or partial decoding, and/or managing a buffer to provide access point information with minimal latency. 
 These and other advantages, aspects and novel features of the present invention, as well as details of illustrative aspects thereof, will be more fully understood from the following description and drawings. 
","1. A method for receiving video information, the method comprising: 
receiving a current request from a user for first video information; 
receiving a first video stream and a second video stream simultaneously, wherein the first video stream comprises the first video information, and the second video stream comprises second video information that is not currently requested by the user; 
processing the received first video stream to present the first video information to the user at the current time; and 
pre-processing the received second video stream in preparation for presenting the second video information to the user in the future."
" It is therefore a primary objective of the claimed invention to provide a printing system that can calibrate errors due to different drop velocities of different kinds of ink. 
 Briefly described, the claimed invention discloses a printing system capable of calibrating errors due to different drop velocities of different kinds of ink. The printing system includes at least one kind of ink, at least one ink jet chip comprising a plurality of ink nozzles for ink jet printing, a thermometer for measuring an operating temperature of the ink jet chip, a logic unit for generating a calibration instruction for calibrating a jet printing of ink in the printing system according to the operating temperature, and at least one calibration device for calibrating the jet printing of ink in a printing system according to the calibration instruction. 
 The claimed invention further discloses another printing system capable of calibrating errors due to different drop velocities of different kinds of ink. The printing system includes a paper module for conveying a medium, at least one kind of ink, and at least one ink jet chip comprising a plurality of ink nozzles for ink jet printing on the medium, wherein distances between the paper module and the plurality of ink nozzles are different from one another. 
 The claimed invention further discloses a method for calibrating jet printing of ink in a printing system, wherein the printing system includes a thermometer, a paper module for conveying a medium, at least one kind of ink, and at least one ink jet chip, the ink jet chip comprising a plurality of ink nozzles for ink jet printing on the medium. The method includes adjusting distances between each ink nozzle and the paper module according to a drop velocity of the ink under a predetermined temperature. 
 The claimed invention further discloses another method for calibrating jet printing of ink in a printing system, wherein the printing system includes a thermometer, at least one kind of ink, and at least one ink jet chip, the ink jet chip comprising a plurality of ink nozzles for ink jet printing. The method includes measuring an operating temperature of the ink jet chip by the thermometer when the printing system prints data, and adjusting time delays of trigger signals of the plurality of ink nozzles according to the operating temperature. 
 It is an advantage of the claimed invention that measurement of the operating temperature and knowledge of the drop velocities of different kinds of ink under different operating temperature help calibrating printing errors. In the claimed invention, the operating temperature of the inkjet chip is measured when the printing system prints data, and the time delays of trigger signals of the plurality of ink nozzles and the data shift parameters are adjusted according to the measured temperature. Therefore the errors due to different drop velocities are calibrated against. 
 These and other objectives of the claimed invention will no doubt become obvious to those of ordinary skill in the art after reading the following detailed description of the preferred embodiment that is illustrated in the various figures and drawings. 
","1. A method for calibrating jet printing of ink in a printing system, wherein the printing system comprises a thermometer, a paper module for conveying a medium, at least one kind of ink, and at least one ink jet chip, the ink jet chip comprising a plurality of ink nozzles for ink jet printing on the medium, the method comprising: 
adjusting distances between each ink nozzle and the paper module according to a drop velocity of the ink under a predetermined temperature."
" Accordingly, in one aspect of the invention, a powder spraying gun for electrostatic powder coating application includes a gun body having an interior powder charging chamber defining a surface extending along an axis of the gun body and fashioned from a material exhibiting resistance to powder impact fusion. A powder supply input in fluid communication with the powder charging chamber at a first end thereof and extending at an angle to the axis of the gun different from 90° supplies the powder particles to the charging chamber. An output chamber having a funnel-shaped output is in fluid communication with the powder charging chamber at a second end thereof. A ground electrode extends into the first end of the powder charging chamber and a plurality of interior charging electrodes radially extend into the powder charging chamber upstream of the output chamber. 
 In another aspect of the invention, a powder spraying gun for electrostatic powder coating application includes a gun body having an interior powder charging chamber defining a surface extending along an axis of the gun body. A powder supply input in fluid communication with the powder charging chamber at a first end thereof and extending at an angle to the axis of the gun different from 90° supplies the powder particles to the charging chamber. An output chamber having a funnel-shaped output is in fluid communication with the powder charging chamber at a second end thereof. A ground electrode extends into the first end of the powder charging chamber and a plurality of interior charging electrodes radially extend into the powder charging chamber upstream of the output chamber. A compressed air inlet is adapted for coupling a source of compressed air to a plurality of air conduits each tangentially opening at the surface of the powder charging chamber between pairs of the plurality of interior charging electrodes and for introducing air in a swirling pattern into the charging chamber for imparting a swirling motion to powder particles and for purging powder particles adhering to exposed surfaces of the interior charging electrodes. 
 In yet another aspect of the invention, a powder spraying gun for electrostatic powder coating application includes a gun body having an interior powder charging chamber defining a surface extending along an axis of the gun body and fashioned from a material exhibiting resistance to powder impact fusion. A powder supply input in fluid communication with the powder charging chamber at a first end thereof and extending at an angle to the axis of the gun different from 90° supplies the powder particles to the charging chamber. An output chamber having a funnel-shaped output is in fluid communication with the powder charging chamber at a second end thereof. A ground electrode extends into the first end of the powder charging chamber. A plurality of exterior charging electrodes extend through the funnel-shaped output. A compressed air inlet is adapted for coupling a source of compressed air to a plurality of air conduits each tangentially opening at the surface of the powder charging chamber for introducing air in a swirling pattern into the charging chamber for imparting a swirling motion to powder particles.
","1. A powder spraying gun for electrostatic powder coating application comprising: 
a gun body having an interior powder charging chamber defining a surface extending along an axis of the gun body and fashioned from a material exhibiting resistance to powder impact fusion; 
a powder supply input in fluid communication with the powder charging chamber at a first end thereof and extending at an angle to the axis different from 90°; 
an output chamber having a funnel-shaped output in fluid communication with the powder charging chamber at a second end thereof; 
a ground electrode extending into the first end of the powder charging chamber; and 
a plurality of interior charging electrodes radially extending into the powder charging chamber for imparting a non-zero charge to powder in the charging chamber."
